CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
0,0,0,0,Pod Not Found,0,false,
618,331735040000,0,0,2023-03-30 02:04:50 +0000 UTC,9694,true,slam-20174-controller
999,410734592000,0,0,2023-03-30 02:04:52 +0000 UTC,1910,true,slam-20174-controller
1872,639594496000,0,0,2023-03-30 02:05:41 +0000 UTC,19370,true,slam-20174-controller
1885,651874304000,0,0,2023-03-30 02:05:58 +0000 UTC,16916,true,slam-20174-controller
1881,666316800000,0,0,2023-03-30 02:06:44 +0000 UTC,12523,true,slam-20174-controller
1886,672903168000,0,0,2023-03-30 02:07:04 +0000 UTC,19391,true,slam-20174-controller
1732,603701248000,0,0,2023-03-30 02:05:02 +0000 UTC,10116,true,slam-20174-controller
1881,625958912000,0,0,2023-03-30 02:05:22 +0000 UTC,19683,true,slam-20174-controller
1879,656920576000,0,0,2023-03-30 02:06:13 +0000 UTC,15477,true,slam-20174-controller
1877,663371776000,0,0,2023-03-30 02:06:32 +0000 UTC,18281,true,slam-20174-controller
1888,680046592000,0,0,2023-03-30 02:07:16 +0000 UTC,12266,true,slam-20174-controller
0,0,0,0,Task has been ended,0,false,
