CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1091,552091648000,0,0,2023-03-30 01:17:21 +0000 UTC,805,true,slam-20021-k8s-as1
1091,596742144000,0,0,2023-03-30 01:18:04 +0000 UTC,15826,true,slam-20021-k8s-as1
1099,601804800000,0,0,2023-03-30 01:18:14 +0000 UTC,10665,true,slam-20021-k8s-as1
1095,607133696000,0,0,2023-03-30 01:18:27 +0000 UTC,13185,true,slam-20021-k8s-as1
1092,611799040000,0,0,2023-03-30 01:18:40 +0000 UTC,13047,true,slam-20021-k8s-as1
0,0,0,0,Task has been ended,0,false,
0,0,0,0,Pod Not Found,0,false,
1051,550223872000,0,0,2023-03-30 01:17:20 +0000 UTC,10000,true,slam-20021-k8s-as1
1094,571199488000,0,0,2023-03-30 01:17:35 +0000 UTC,14033,true,slam-20021-k8s-as1
1099,585056256000,0,0,2023-03-30 01:17:48 +0000 UTC,13040,true,slam-20021-k8s-as1
1095,624074752000,0,0,2023-03-30 01:19:00 +0000 UTC,19320,true,slam-20021-k8s-as1
