CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1488,630861824000,0,0,2023-03-30 01:46:50 +0000 UTC,10850,true,slam-20116-controller
1488,657264640000,0,0,2023-03-30 01:47:53 +0000 UTC,18814,true,slam-20116-controller
1485,672956416000,0,0,2023-03-30 01:48:52 +0000 UTC,19669,true,slam-20116-controller
347,176513024000,0,0,2023-03-30 01:45:50 +0000 UTC,10004,true,slam-20116-controller
1483,663158784000,0,0,2023-03-30 01:48:12 +0000 UTC,19206,true,slam-20116-controller
1493,679346176000,0,0,2023-03-30 01:49:07 +0000 UTC,15296,true,slam-20116-controller
1450,611360768000,0,0,2023-03-30 01:46:20 +0000 UTC,18127,true,slam-20116-controller
1486,625446912000,0,0,2023-03-30 01:46:39 +0000 UTC,19308,true,slam-20116-controller
0,0,0,0,Task has been ended,0,false,
0,0,0,0,Pod Not Found,0,false,
1161,588570624000,0,0,2023-03-30 01:46:02 +0000 UTC,10860,true,slam-20116-controller
1484,640430080000,0,0,2023-03-30 01:47:06 +0000 UTC,16290,true,slam-20116-controller
1495,646516736000,0,0,2023-03-30 01:47:19 +0000 UTC,12601,true,slam-20116-controller
1486,650964992000,0,0,2023-03-30 01:47:34 +0000 UTC,15030,true,slam-20116-controller
1483,666546176000,0,0,2023-03-30 01:48:32 +0000 UTC,19922,true,slam-20116-controller
1483,652759040000,0,0,2023-03-30 01:49:25 +0000 UTC,18420,true,slam-20116-controller
1002,223666176000,0,0,2023-03-30 01:45:51 +0000 UTC,1101,true,slam-20116-controller
