CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1193,575823872000,0,0,2023-03-30 01:20:58 +0000 UTC,17643,true,slam-20030-k8s-as1
1197,593776640000,0,0,2023-03-30 01:21:15 +0000 UTC,16666,true,slam-20030-k8s-as1
1197,610402304000,0,0,2023-03-30 01:21:47 +0000 UTC,17980,true,slam-20030-k8s-as1
1191,616869888000,0,0,2023-03-30 01:22:01 +0000 UTC,14336,true,slam-20030-k8s-as1
1047,541401088000,0,0,2023-03-30 01:20:40 +0000 UTC,10017,true,slam-20030-k8s-as1
1197,547155968000,0,0,2023-03-30 01:20:41 +0000 UTC,811,true,slam-20030-k8s-as1
1200,629514240000,0,0,2023-03-30 01:22:17 +0000 UTC,15891,true,slam-20030-k8s-as1
0,0,0,0,Task has been ended,0,false,
0,0,0,0,Pod Not Found,0,false,
1194,601149440000,0,0,2023-03-30 01:21:29 +0000 UTC,13648,true,slam-20030-k8s-as1
