CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1297,596885504000,0,0,2023-03-29 07:12:22 +0000 UTC,10775,true,slam-20039-k8s-as1
1297,631427072000,0,0,2023-03-29 07:13:14 +0000 UTC,10492,true,slam-20039-k8s-as1
0,0,0,0,Task has been ended,0,false,
1168,554528768000,0,0,2023-03-29 07:11:50 +0000 UTC,9995,true,slam-20039-k8s-as1
1304,558571520000,0,0,2023-03-29 07:11:52 +0000 UTC,1934,true,slam-20039-k8s-as1
1296,587472896000,0,0,2023-03-29 07:12:11 +0000 UTC,19633,true,slam-20039-k8s-as1
1298,621875200000,0,0,2023-03-29 07:13:04 +0000 UTC,14909,true,slam-20039-k8s-as1
0,0,0,0,Pod Not Found,0,false,
1293,607821824000,0,0,2023-03-29 07:12:39 +0000 UTC,16597,true,slam-20039-k8s-as1
1292,612028416000,0,0,2023-03-29 07:12:49 +0000 UTC,10178,true,slam-20039-k8s-as1
