CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
0,0,0,0,Pod Not Found,0,false,
996,285315072000,0,0,2023-03-30 02:16:20 +0000 UTC,241,true,slam-20214-controller
2190,656097280000,0,0,2023-03-30 02:17:21 +0000 UTC,14975,true,slam-20214-controller
2185,683511808000,0,0,2023-03-30 02:18:21 +0000 UTC,18612,true,slam-20214-controller
0,0,0,0,Task has been ended,0,false,
1877,613044224000,0,0,2023-03-30 02:16:35 +0000 UTC,15138,true,slam-20214-controller
2200,629018624000,0,0,2023-03-30 02:16:48 +0000 UTC,12541,true,slam-20214-controller
2188,645644288000,0,0,2023-03-30 02:17:06 +0000 UTC,18555,true,slam-20214-controller
2174,660385792000,0,0,2023-03-30 02:17:36 +0000 UTC,14884,true,slam-20214-controller
2184,664555520000,0,0,2023-03-30 02:17:53 +0000 UTC,16630,true,slam-20214-controller
2177,669929472000,0,0,2023-03-30 02:18:03 +0000 UTC,10046,true,slam-20214-controller
