CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
2596,658362368000,0,0,2023-03-30 02:30:32 +0000 UTC,17987,true,slam-20255-controller
2595,664723456000,0,0,2023-03-30 02:30:43 +0000 UTC,10666,true,slam-20255-controller
0,0,0,0,Task has been ended,0,false,
2594,644923392000,0,0,2023-03-30 02:30:14 +0000 UTC,16388,true,slam-20255-controller
2581,670584832000,0,0,2023-03-30 02:30:57 +0000 UTC,14025,true,slam-20255-controller
2591,685527040000,0,0,2023-03-30 02:31:14 +0000 UTC,17582,true,slam-20255-controller
0,0,0,0,Pod Not Found,0,false,
659,370655232000,0,0,2023-03-30 02:29:40 +0000 UTC,10022,true,slam-20255-controller
995,421249024000,0,0,2023-03-30 02:29:41 +0000 UTC,1226,true,slam-20255-controller
2496,623988736000,0,0,2023-03-30 02:29:58 +0000 UTC,16639,true,slam-20255-controller
