CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1004,590331904000,0,0,2023-03-28 12:33:47 +0000 UTC,14768,true,slam-9045-controller
1087,622133248000,0,0,2023-03-28 12:34:28 +0000 UTC,18004,true,slam-9045-controller
1086,625295360000,0,0,2023-03-28 12:34:38 +0000 UTC,10652,true,slam-9045-controller
1091,630296576000,0,0,2023-03-28 12:36:58 +0000 UTC,19662,true,slam-9045-controller
1085,634945536000,0,0,2023-03-28 12:37:31 +0000 UTC,18583,true,slam-9045-controller
1082,641568768000,0,0,2023-03-28 12:38:02 +0000 UTC,16627,true,slam-9045-controller
1085,645025792000,0,0,2023-03-28 12:38:14 +0000 UTC,12164,true,slam-9045-controller
1086,650108928000,0,0,2023-03-28 12:38:31 +0000 UTC,16605,true,slam-9045-controller
1092,653393920000,0,0,2023-03-28 12:38:57 +0000 UTC,15121,true,slam-9045-controller
0,0,0,0,Pod Not Found,0,false,
1082,606175232000,0,0,2023-03-28 12:33:59 +0000 UTC,11888,true,slam-9045-controller
1088,653438976000,0,0,2023-03-28 12:36:06 +0000 UTC,13506,true,slam-9045-controller
1081,660082688000,0,0,2023-03-28 12:36:38 +0000 UTC,12624,true,slam-9045-controller
997,204079104000,0,0,2023-03-28 12:33:32 +0000 UTC,2331,true,slam-9045-controller
1080,630820864000,0,0,2023-03-28 12:34:50 +0000 UTC,11758,true,slam-9045-controller
1093,635985920000,0,0,2023-03-28 12:35:04 +0000 UTC,14252,true,slam-9045-controller
1090,641458176000,0,0,2023-03-28 12:35:19 +0000 UTC,14518,true,slam-9045-controller
1082,646905856000,0,0,2023-03-28 12:35:37 +0000 UTC,17818,true,slam-9045-controller
1088,650473472000,0,0,2023-03-28 12:35:52 +0000 UTC,15593,true,slam-9045-controller
1081,632041472000,0,0,2023-03-28 12:37:13 +0000 UTC,15063,true,slam-9045-controller
187,114425856000,0,0,2023-03-28 12:33:30 +0000 UTC,10001,true,slam-9045-controller
1082,612519936000,0,0,2023-03-28 12:34:10 +0000 UTC,10758,true,slam-9045-controller
1088,657428480000,0,0,2023-03-28 12:36:26 +0000 UTC,19798,true,slam-9045-controller
1083,637460480000,0,0,2023-03-28 12:37:45 +0000 UTC,13927,true,slam-9045-controller
1095,651821056000,0,0,2023-03-28 12:38:41 +0000 UTC,10724,true,slam-9045-controller
0,0,0,0,Task has been ended,0,false,
