CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
990,630386688000,0,0,2023-03-30 01:17:21 +0000 UTC,12183,true,slam-20010-controller
986,631508992000,0,0,2023-03-30 01:17:37 +0000 UTC,15815,true,slam-20010-controller
993,632610816000,0,0,2023-03-30 01:17:55 +0000 UTC,17902,true,slam-20010-controller
990,642023424000,0,0,2023-03-30 01:18:54 +0000 UTC,10302,true,slam-20010-controller
989,645644288000,0,0,2023-03-30 01:19:08 +0000 UTC,13420,true,slam-20010-controller
0,1626112000,0,0,2023-03-30 01:13:42 +0000 UTC,11195,true,slam-20010-controller
989,612184064000,0,0,2023-03-30 01:14:25 +0000 UTC,19871,true,slam-20010-controller
989,636674048000,0,0,2023-03-30 01:18:23 +0000 UTC,12599,true,slam-20010-controller
984,640421888000,0,0,2023-03-30 01:18:44 +0000 UTC,10499,true,slam-20010-controller
992,617218048000,0,0,2023-03-30 01:14:38 +0000 UTC,12355,true,slam-20010-controller
993,634245120000,0,0,2023-03-30 01:15:23 +0000 UTC,11648,true,slam-20010-controller
990,639668224000,0,0,2023-03-30 01:15:39 +0000 UTC,15448,true,slam-20010-controller
986,647909376000,0,0,2023-03-30 01:19:20 +0000 UTC,11942,true,slam-20010-controller
943,597385216000,0,0,2023-03-30 01:14:05 +0000 UTC,23407,true,slam-20010-controller
985,630145024000,0,0,2023-03-30 01:15:12 +0000 UTC,17184,true,slam-20010-controller
993,645533696000,0,0,2023-03-30 01:15:53 +0000 UTC,13792,true,slam-20010-controller
983,634580992000,0,0,2023-03-30 01:18:11 +0000 UTC,15869,true,slam-20010-controller
986,649555968000,0,0,2023-03-30 01:16:09 +0000 UTC,16261,true,slam-20010-controller
985,650285056000,0,0,2023-03-30 01:16:22 +0000 UTC,13048,true,slam-20010-controller
991,626147328000,0,0,2023-03-30 01:16:59 +0000 UTC,17683,true,slam-20010-controller
0,0,0,0,Task has been ended,0,false,
989,638525440000,0,0,2023-03-30 01:18:34 +0000 UTC,10135,true,slam-20010-controller
0,1626112000,0,0,2023-03-30 01:13:31 +0000 UTC,846,true,slam-20010-controller
993,623480832000,0,0,2023-03-30 01:14:54 +0000 UTC,16914,true,slam-20010-controller
986,653950976000,0,0,2023-03-30 01:16:41 +0000 UTC,19124,true,slam-20010-controller
991,628588544000,0,0,2023-03-30 01:17:09 +0000 UTC,10429,true,slam-20010-controller
986,650543104000,0,0,2023-03-30 01:19:38 +0000 UTC,18388,true,slam-20010-controller
