CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
2485,663330816000,0,0,2023-03-30 02:27:38 +0000 UTC,10950,true,slam-20241-controller
2486,680001536000,0,0,2023-03-30 02:28:11 +0000 UTC,19807,true,slam-20241-controller
2489,667672576000,0,0,2023-03-30 02:27:51 +0000 UTC,13069,true,slam-20241-controller
0,0,0,0,Task has been ended,0,false,
0,0,0,0,Pod Not Found,0,false,
649,360189952000,0,0,2023-03-30 02:26:30 +0000 UTC,10028,true,slam-20241-controller
1729,590950400000,0,0,2023-03-30 02:26:35 +0000 UTC,4830,true,slam-20241-controller
2481,629481472000,0,0,2023-03-30 02:26:53 +0000 UTC,18394,true,slam-20241-controller
2491,644251648000,0,0,2023-03-30 02:27:07 +0000 UTC,14289,true,slam-20241-controller
2470,657227776000,0,0,2023-03-30 02:27:27 +0000 UTC,19383,true,slam-20241-controller
