CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1684,613302272000,0,0,2023-03-30 02:00:50 +0000 UTC,19205,true,slam-20156-controller
1773,650334208000,0,0,2023-03-30 02:01:45 +0000 UTC,14537,true,slam-20156-controller
993,404869120000,0,0,2023-03-30 02:00:31 +0000 UTC,1229,true,slam-20156-controller
1779,652697600000,0,0,2023-03-30 02:01:59 +0000 UTC,13133,true,slam-20156-controller
1789,666886144000,0,0,2023-03-30 02:02:39 +0000 UTC,14816,true,slam-20156-controller
0,0,0,0,Task has been ended,0,false,
701,356229120000,0,0,2023-03-30 02:00:30 +0000 UTC,9615,true,slam-20156-controller
1789,623480832000,0,0,2023-03-30 02:01:02 +0000 UTC,11914,true,slam-20156-controller
1770,657616896000,0,0,2023-03-30 02:02:10 +0000 UTC,11112,true,slam-20156-controller
1782,662163456000,0,0,2023-03-30 02:02:24 +0000 UTC,14573,true,slam-20156-controller
1773,679530496000,0,0,2023-03-30 02:03:08 +0000 UTC,16724,true,slam-20156-controller
1790,685543424000,0,0,2023-03-30 02:03:22 +0000 UTC,13963,true,slam-20156-controller
0,0,0,0,Pod Not Found,0,false,
1777,631369728000,0,0,2023-03-30 02:01:14 +0000 UTC,11799,true,slam-20156-controller
1778,643473408000,0,0,2023-03-30 02:01:31 +0000 UTC,16859,true,slam-20156-controller
1781,670953472000,0,0,2023-03-30 02:02:51 +0000 UTC,12088,true,slam-20156-controller
