CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1986,653361152000,0,0,2023-03-30 02:09:57 +0000 UTC,13890,true,slam-20182-controller
1983,663982080000,0,0,2023-03-30 02:10:26 +0000 UTC,12195,true,slam-20182-controller
1981,667230208000,0,0,2023-03-30 02:10:39 +0000 UTC,13233,true,slam-20182-controller
1990,682688512000,0,0,2023-03-30 02:11:09 +0000 UTC,17017,true,slam-20182-controller
0,0,0,0,Pod Not Found,0,false,
997,438779904000,0,0,2023-03-30 02:08:53 +0000 UTC,3292,true,slam-20182-controller
1903,607875072000,0,0,2023-03-30 02:09:04 +0000 UTC,10730,true,slam-20182-controller
2002,623378432000,0,0,2023-03-30 02:09:18 +0000 UTC,14437,true,slam-20182-controller
0,0,0,0,Task has been ended,0,false,
1992,634765312000,0,0,2023-03-30 02:09:30 +0000 UTC,12008,true,slam-20182-controller
1989,644636672000,0,0,2023-03-30 02:09:43 +0000 UTC,12835,true,slam-20182-controller
1992,660578304000,0,0,2023-03-30 02:10:13 +0000 UTC,16433,true,slam-20182-controller
1988,672583680000,0,0,2023-03-30 02:10:52 +0000 UTC,13202,true,slam-20182-controller
