fusion_node_name,gpu_limit,cpu_limit,max_cpu_usage,avg_latency
as1,16,5000,1675,118.7535885167464
as1,20,5000,2010,99.4688995215311
as1,25,5000,2494,69.91866028708134
as1,33,5000,2547,59.80263157894737
as1,50,5000,2390,60.24043062200957
as1,100,5000,2492,60.72248803827751
