CPULimit,GPULimit,AvgLatency,AvgCPUUsage,MaxCPUUsage,AvgMemoryUsage,MaxMemoryUsage,HighLoadRatio,TaskNumber
0,33,91ms,NaN,0,NaN,0,NaN,3
0,50,68ms,NaN,0,NaN,0,NaN,2
0,100,40ms,NaN,0,NaN,0,NaN,1
