CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1011,501407744000,0,0,2023-05-14 08:03:23 +0000 UTC,15695,true,fusion-20004-k8s-as1
1097,533843968000,0,0,2023-05-14 08:03:39 +0000 UTC,16596,true,fusion-20004-k8s-as1
1099,567234560000,0,0,2023-05-14 08:03:50 +0000 UTC,10625,true,fusion-20004-k8s-as1
1097,622895104000,0,0,2023-05-14 08:04:08 +0000 UTC,18546,true,fusion-20004-k8s-as1
1091,670093312000,0,0,2023-05-14 08:04:27 +0000 UTC,19029,true,fusion-20004-k8s-as1
9,432824320000,0,0,2023-05-14 08:02:47 +0000 UTC,11383,true,fusion-20004-k8s-as1
9,432955392000,0,0,2023-05-14 08:03:07 +0000 UTC,19607,true,fusion-20004-k8s-as1
