CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
999,526200832000,0,0,2023-05-14 09:30:21 +0000 UTC,13790,true,fusion-20002-k8s-as1
1000,546770944000,0,0,2023-05-14 09:30:36 +0000 UTC,14507,true,fusion-20002-k8s-as1
998,588435456000,0,0,2023-05-14 09:30:51 +0000 UTC,14723,true,fusion-20002-k8s-as1
996,622178304000,0,0,2023-05-14 09:31:05 +0000 UTC,14199,true,fusion-20002-k8s-as1
986,682565632000,0,0,2023-05-14 09:31:22 +0000 UTC,17261,true,fusion-20002-k8s-as1
9,432836608000,0,0,2023-05-14 09:29:38 +0000 UTC,16940,true,fusion-20002-k8s-as1
9,432836608000,0,0,2023-05-14 09:29:52 +0000 UTC,14112,true,fusion-20002-k8s-as1
577,490672128000,0,0,2023-05-14 09:30:07 +0000 UTC,15199,true,fusion-20002-k8s-as1
