CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1402,774332416000,0,0,2023-05-14 11:53:03 +0000 UTC,18134,true,fusion-20022-k8s-as1
1461,829755392000,0,0,2023-05-14 11:53:15 +0000 UTC,11382,true,fusion-20022-k8s-as1
0,0,0,0,Pod Not Found,0,false,
1243,498184192000,0,0,2023-05-14 11:51:52 +0000 UTC,9650,true,fusion-20022-k8s-as1
1662,545165312000,0,0,2023-05-14 11:52:02 +0000 UTC,10658,true,fusion-20022-k8s-as1
1639,579280896000,0,0,2023-05-14 11:52:15 +0000 UTC,12207,true,fusion-20022-k8s-as1
1490,627187712000,0,0,2023-05-14 11:52:27 +0000 UTC,12442,true,fusion-20022-k8s-as1
1555,703631360000,0,0,2023-05-14 11:52:45 +0000 UTC,18101,true,fusion-20022-k8s-as1
