CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1532,589627392000,0,0,2023-05-14 11:37:55 +0000 UTC,13998,true,fusion-20015-k8s-as1
1617,663040000000,0,0,2023-05-14 11:38:13 +0000 UTC,18710,true,fusion-20015-k8s-as1
1422,729403392000,0,0,2023-05-14 11:38:28 +0000 UTC,14784,true,fusion-20015-k8s-as1
1464,778641408000,0,0,2023-05-14 11:38:40 +0000 UTC,11465,true,fusion-20015-k8s-as1
867,449310720000,0,0,2023-05-14 11:37:22 +0000 UTC,23,true,fusion-20015-k8s-as1
1826,548065280000,0,0,2023-05-14 11:37:41 +0000 UTC,18662,true,fusion-20015-k8s-as1
