CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1389,562696192000,0,0,2023-05-14 10:09:03 +0000 UTC,18480,true,fusion-20016-k8s-as1
1390,618840064000,0,0,2023-05-14 10:09:20 +0000 UTC,16207,true,fusion-20016-k8s-as1
1387,694308864000,0,0,2023-05-14 10:09:37 +0000 UTC,17761,true,fusion-20016-k8s-as1
9,432828416000,0,0,2023-05-14 10:08:11 +0000 UTC,17503,true,fusion-20016-k8s-as1
9,432828416000,0,0,2023-05-14 10:08:22 +0000 UTC,11612,true,fusion-20016-k8s-as1
554,471535616000,0,0,2023-05-14 10:08:33 +0000 UTC,10966,true,fusion-20016-k8s-as1
1401,518909952000,0,0,2023-05-14 10:08:45 +0000 UTC,11751,true,fusion-20016-k8s-as1
