1387 53 49 45 1327
149 4 139 9 39
69 4 56 11 54
54 4 45 10 39
56 6 46 10 38
54 4 44 10 38
54 4 44 10 37
52 4 43 10 37
53 4 43 10 38
51 4 42 9 37
55 4 47 9 37
52 4 42 10 39
65 4 55 9 37
64 3 56 9 40
79 3 43 24 51
52 3 43 9 37
56 4 47 10 37
58 9 43 10 38
57 4 48 10 39
52 3 44 9 39
100 36 53 23 41
67 4 42 10 52
52 3 44 9 37
50 3 40 9 37
49 4 40 8 36
91 21 39 9 36
56 4 39 10 42
51 4 42 9 36
51 4 41 9 37
51 4 41 9 38
57 3 49 9 36
63 3 55 9 38
56 4 41 9 43
49 4 41 9 36
53 3 40 9 40
69 4 41 24 40
52 4 43 9 36
50 4 40 9 36
68 4 59 9 36
67 4 59 9 39
63 4 54 9 44
101 51 44 27 48
57 4 42 9 44
53 7 42 9 39
77 4 50 27 46
55 4 40 9 42
66 3 41 9 52
52 3 40 10 38
53 4 41 9 39
55 3 47 9 37
82 4 42 10 68
52 3 42 10 37
56 4 47 10 37
53 3 42 10 39
69 4 42 10 54
52 4 42 10 38
58 3 49 10 37
75 4 44 10 36
56 5 41 10 41
50 4 40 9 37
50 3 39 9 37
50 4 39 9 36
117 62 41 64 49
56 3 48 10 36
50 4 40 10 36
52 4 43 10 37
51 3 40 10 36
52 5 42 10 36
53 5 42 10 36
52 4 43 10 37
50 4 40 10 36
50 4 40 10 36
51 3 44 10 36
50 4 40 9 36
50 3 41 9 37
51 3 44 10 36
52 4 42 9 36
52 4 43 9 36
52 3 42 10 36
51 4 42 9 37
50 4 40 9 37
54 3 45 9 36
55 6 40 10 41
117 46 53 59 53
50 4 40 9 37
58 3 50 9 37
55 4 43 10 40
52 4 43 10 37
73 4 41 24 44
51 3 40 10 37
50 4 41 9 37
50 5 40 10 36
68 5 58 9 38
50 2 41 9 37
51 5 42 9 37
50 3 42 9 37
51 3 42 9 37
54 3 45 9 36
50 4 42 10 36
51 3 42 9 36
61 3 53 9 38
58 3 47 10 45
68 14 49 10 36
52 3 43 10 38
58 3 50 9 36
103 30 64 39 47
54 3 46 9 37
52 3 45 9 36
51 3 44 9 36
50 4 41 9 36
51 3 44 10 37
71 3 63 10 36
53 3 44 9 39
53 3 45 9 37
65 3 45 9 51
54 3 46 9 37
57 4 43 9 37
50 3 42 9 37
51 4 41 9 37
62 3 55 9 37
56 4 48 9 37
84 3 41 9 37
56 4 41 10 41
60 4 52 9 37
51 4 42 9 38
52 3 44 9 38
50 3 40 9 37
110 33 69 11 36
63 4 41 10 49
50 3 42 9 37
52 3 42 9 38
51 3 42 9 36
53 8 41 9 38
56 3 47 9 37
76 3 42 24 48
56 6 45 10 37
52 5 42 9 38
50 3 42 9 37
52 3 42 9 39
