CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
1639,741498880000,0,0,2023-05-14 10:44:45 +0000 UTC,14289,true,fusion-20002-k8s-as1
9,432807936000,0,0,2023-05-14 10:43:23 +0000 UTC,12915,true,fusion-20002-k8s-as1
132,463998976000,0,0,2023-05-14 10:43:42 +0000 UTC,18685,true,fusion-20002-k8s-as1
2010,530366464000,0,0,2023-05-14 10:43:52 +0000 UTC,10482,true,fusion-20002-k8s-as1
1786,569384960000,0,0,2023-05-14 10:44:06 +0000 UTC,13741,true,fusion-20002-k8s-as1
1608,623796224000,0,0,2023-05-14 10:44:18 +0000 UTC,12052,true,fusion-20002-k8s-as1
1708,677572608000,0,0,2023-05-14 10:44:31 +0000 UTC,12788,true,fusion-20002-k8s-as1
