CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
695,479129600000,0,0,2023-05-14 08:10:22 +0000 UTC,16283,true,fusion-20001-k8s-as1
1000,518418432000,0,0,2023-05-14 08:10:40 +0000 UTC,17851,true,fusion-20001-k8s-as1
999,547487744000,0,0,2023-05-14 08:10:53 +0000 UTC,12493,true,fusion-20001-k8s-as1
995,596328448000,0,0,2023-05-14 08:11:10 +0000 UTC,17212,true,fusion-20001-k8s-as1
995,636043264000,0,0,2023-05-14 08:11:23 +0000 UTC,13537,true,fusion-20001-k8s-as1
9,432766976000,0,0,2023-05-14 08:09:55 +0000 UTC,12459,true,fusion-20001-k8s-as1
9,432766976000,0,0,2023-05-14 08:10:06 +0000 UTC,10784,true,fusion-20001-k8s-as1
