1882 35 38 36 1844 190
99 28 62 28 69 142
95 29 31 36 57 156
97 25 27 29 66 205
93 34 29 27 64 250
102 26 29 32 67 194
91 34 31 25 63 323
90 33 27 26 62 269
90 33 27 25 62 229
91 28 27 33 56 279
92 32 30 32 58 336
92 25 34 31 59 246
102 33 29 33 66 234
98 26 30 34 61 206
97 26 28 29 67 240
99 28 32 33 64 174
96 24 27 32 61 292
95 32 38 26 67 277
105 32 32 33 70 192
101 32 28 32 66 339
104 29 28 32 70 179
92 24 27 27 63 200
98 17 26 31 64 285
99 29 41 31 66 223
98 30 36 30 66 297
90 32 30 24 64 184
101 30 28 29 70 316
108 30 29 31 75 164
90 29 28 24 63 171
98 25 26 27 68 201
99 31 33 31 66 179
93 27 28 25 66 234
106 32 27 32 72 181
87 24 28 24 61 146
216 187 29 31 62 165
97 27 28 26 68 206
89 31 29 23 64 175
96 30 29 30 63 237
98 31 28 31 65 155
104 31 30 32 70 215
107 31 29 33 72 192
96 27 28 26 68 220
106 32 28 34 70 173
107 30 28 32 73 179
103 31 30 31 69 141
101 31 28 31 68 194
106 32 28 30 73 221
99 32 31 32 65 156
105 32 26 33 70 265
119 40 28 46 69 193
125 36 29 41 79 119
97 35 29 32 58 179
112 33 29 36 74 128
113 34 31 35 76 239
100 26 31 34 64 181
92 31 30 28 61 248
74 28 29 28 44 164
84 43 29 20 61 405
91 30 30 33 57 169
98 32 31 32 64 161
90 32 27 28 61 225
92 28 28 26 64 165
93 26 27 30 62 184
110 35 30 37 71 129
97 33 28 33 62 146
97 33 29 33 61 166
96 27 28 34 60 217
93 34 28 27 64 123
100 26 29 30 68 251
102 27 32 29 71 171
94 27 27 34 58 146
110 32 28 34 73 198
102 27 30 30 70 220
95 26 28 33 60 277
105 33 28 33 69 203
110 25 27 33 74 166
100 31 27 32 66 183
86 33 28 33 51 248
90 26 28 25 62 193
92 32 28 25 65 259
109 34 27 34 73 155
258 230 27 32 70 177
96 24 25 25 69 155
97 33 26 29 66 169
93 24 26 26 65 145
111 32 27 34 74 211
99 33 28 26 70 186
105 23 26 30 74 159
93 23 26 28 63 225
92 25 28 32 57 188
100 33 28 27 71 159
106 32 30 33 71 199
108 25 27 33 73 148
101 34 28 28 70 254
102 30 27 28 72 166
99 25 29 31 66 239
109 32 30 33 73 141
104 32 32 31 71 199
109 31 29 31 76 169
102 30 28 31 70 176
90 25 29 32 56 177
97 25 29 32 62 214
122 53 29 46 72 157
114 39 30 24 85 169
97 27 29 32 63 202
109 34 33 34 73 193
103 33 30 33 67 239
108 32 31 33 73 118
92 26 29 26 63 223
94 33 37 30 62 223
93 24 29 32 59 134
90 30 39 30 58 243
104 32 40 33 69 210
95 28 29 33 61 253
98 25 39 26 69 362
90 31 32 31 57 175
100 31 33 32 66 281
90 24 31 22 65 193
102 24 31 32 69 296
100 17 30 30 68 228
93 25 29 25 66 257
95 31 29 24 69 202
89 23 27 24 63 350
91 24 28 31 57 193
100 30 28 31 67 259
102 32 31 32 67 186
92 30 29 25 64 372
92 25 27 31 59 203
291 260 31 17 38 197
94 27 27 28 65 384
97 24 30 31 63 179
82 22 28 18 62 232
100 31 29 31 67 231
94 25 28 32 61 247
87 28 30 29 56 209
89 27 31 25 62 215
104 32 31 33 69 170
100 24 28 29 68 160
104 30 30 33 69 213
107 30 30 32 73 201
102 32 32 32 68 207
100 32 29 25 73 266
107 25 33 33 72 111
96 31 33 32 62 93
96 29 31 33 62 91
96 31 30 33 61 93
90 28 30 30 58 113
92 31 31 25 65 93
106 32 31 32 72 74
102 31 30 31 68 127
101 28 28 31 68 49
101 30 28 30 69 128
105 30 30 26 77 106
87 23 28 23 61 185
90 25 29 23 65 75
97 29 30 28 66 148
101 29 31 29 70 143
109 51 28 51 54 140
91 29 28 24 63 123
92 20 28 21 67 122
102 18 27 25 72 149
90 23 26 23 65 257
83 30 37 22 58 154
92 28 27 24 66 178
105 31 36 32 71 145
94 30 29 27 64 276
93 28 28 24 67 146
104 29 27 30 72 220
91 24 36 21 68 159
91 25 27 22 66 213
90 22 27 23 64 170
90 26 28 23 64 211
89 26 27 30 57 183
91 24 26 25 64 265
101 31 37 31 68 199
104 32 27 30 72 297
108 63 27 32 74 377
335 304 29 31 68 345
102 23 29 30 69 205
108 31 31 32 74 256
103 31 30 32 69 223
94 27 27 22 69 311
102 23 35 30 70 181
104 31 29 31 71 243
102 24 33 31 69 161
89 28 27 24 62 250
93 26 27 24 67 177
90 31 27 31 57 290
92 30 28 24 66 180
106 31 28 33 71 273
104 31 33 31 70 214
98 24 28 31 64 208
90 32 29 27 61 229
106 31 27 32 71 246
105 30 31 32 71 169
88 23 25 31 56 234
100 30 32 30 67 214
98 31 34 31 65 188
97 28 36 29 65 322
94 27 37 24 68 152
95 23 28 25 68 211
86 23 27 23 60 319
95 31 27 24 69 150
91 28 27 23 67 195
103 28 28 30 71 176
87 24 29 30 55 222
100 30 31 30 69 211
102 30 29 31 69 195
95 28 30 30 63 164
99 29 31 29 68 225
99 28 38 29 68 189
98 22 27 29 67 192
105 52 30 59 41 187
110 31 27 30 74 224
106 31 32 31 72 200
96 24 29 31 62 206
102 30 35 31 70 140
93 28 28 28 63 174
93 26 31 30 61 190
92 29 30 23 67 198
90 24 31 26 63 122
91 30 29 24 64 289
91 30 35 24 65 209
105 31 32 31 71 263
255 223 31 31 57 172
93 30 29 26 65 236
99 31 38 31 65 249
95 27 38 31 61 487
93 31 37 25 66 171
96 23 38 26 68 248
94 30 32 45 47 182
98 23 32 27 69 252
88 16 30 21 64 197
85 29 29 22 61 289
93 30 34 27 63 215
89 27 29 31 56 236
93 31 37 24 67 244
87 29 29 23 62 350
97 24 33 25 69 185
88 28 30 28 57 287
102 29 32 29 71 217
102 31 32 30 69 279
94 25 37 25 67 215
103 31 32 31 70 204
104 31 34 32 70 239
90 24 32 26 62 197
82 29 33 19 61 288
90 23 30 24 64 203
91 21 31 31 59 205
102 32 34 32 69 185
90 24 31 31 57 236
102 31 31 32 68 151
100 31 40 31 66 245
89 30 29 24 64 151
90 29 29 32 57 234
90 29 29 24 64 171
88 24 31 24 63 231
85 17 28 22 61 184
95 29 28 29 64 174
91 22 27 29 60 188
89 22 37 27 60 107
100 29 29 29 69 177
103 23 28 31 70 108
88 28 28 23 63 225
89 30 33 28 59 237
91 41 28 31 56 154
102 26 28 26 71 195
101 32 28 30 66 196
106 30 30 29 73 177
90 24 28 25 63 214
92 25 38 32 58 96
90 31 29 25 63 166
94 32 32 28 63 105
106 31 30 32 72 165
299 270 28 32 61 99
95 26 29 25 68 93
82 22 28 31 49 121
89 30 40 23 63 118
107 16 29 32 73 120
93 31 29 30 62 160
91 25 31 31 58 98
88 24 29 24 62 140
98 31 36 31 64 133
105 31 35 32 71 144
107 30 33 32 73 159
88 24 29 31 56 164
101 31 31 32 67 106
90 25 29 25 63 244
95 26 33 33 60 130
101 34 30 35 64 219
106 35 34 36 68 185
106 36 31 36 68 185
95 36 30 35 58 262
91 28 30 35 54 152
94 24 28 25 67 168
93 30 29 26 65 214
105 34 30 34 68 226
100 32 29 33 65 204
100 25 32 32 65 123
94 29 28 26 65 112
106 24 28 33 71 183
101 32 30 33 66 84
99 33 29 26 71 89
129 32 29 33 93 182
100 32 30 33 65 94
103 31 29 32 69 227
104 25 27 32 70 199
101 24 41 31 68 102
116 31 29 31 83 193
88 26 28 25 62 153
101 25 30 33 66 196
103 33 35 33 68 165
102 32 28 31 68 182
99 25 33 32 65 163
89 32 29 30 57 256
92 31 29 32 58 142
91 33 34 27 62 149
100 32 29 32 66 215
106 49 29 32 71 182
100 27 31 24 70 488
101 29 28 31 65 163
320 291 28 31 70 172
106 28 28 31 74 301
92 30 29 30 60 255
102 30 31 31 70 203
93 24 26 31 60 268
93 24 30 24 66 232
90 30 27 22 66 260
102 30 28 30 70 292
96 27 27 29 65 312
91 25 26 29 60 215
88 23 28 23 63 266
96 27 27 28 67 198
90 23 27 28 59 344
95 25 34 28 65 167
88 23 30 24 62 323
95 29 29 29 64 225
101 28 28 30 68 236
99 31 38 30 67 167
100 31 30 28 69 300
98 31 30 30 66 201
92 31 28 25 65 315
92 31 29 25 65 266
112 32 31 33 76 348
109 32 41 33 73 261
105 33 31 34 69 545
94 28 30 26 67 265
99 27 29 27 69 361
93 26 27 26 64 360
95 26 30 33 59 272
102 32 39 33 68 441
98 34 36 34 62 190
96 29 38 33 60 368
97 26 38 27 68 345
104 33 29 33 69 315
108 32 38 33 73 250
107 24 28 31 73 313
101 32 29 32 67 223
103 29 30 31 69 307
97 25 27 32 63 293
110 32 29 33 74 289
105 31 33 32 71 176
91 24 30 31 58 210
88 23 28 28 57 209
99 30 30 30 67 208
93 24 29 27 63 391
102 32 38 32 68 280
91 25 36 31 58 281
425 396 28 32 67 220
92 23 28 26 64 234
99 31 30 31 65 218
151 57 28 70 77 248
101 29 30 25 73 202
110 31 28 30 75 325
110 32 27 33 75 220
105 33 27 29 73 316
96 27 28 26 68 205
102 26 27 33 67 203
99 26 27 33 64 203
107 32 28 36 69 318
93 29 27 33 59 214
97 31 27 25 70 299
105 32 28 32 71 189
99 32 26 30 67 312
96 28 30 25 68 184
87 23 25 34 52 227
96 32 41 28 66 157
96 32 26 28 66 192
107 32 38 32 72 170
94 32 28 26 66 309
91 27 31 25 65 165
105 31 29 31 71 161
103 31 28 32 70 234
101 32 26 31 68 258
93 25 37 32 59 341
100 32 37 28 70 200
96 31 35 31 62 266
103 29 32 32 69 183
107 31 30 32 72 201
96 24 28 25 69 174
101 34 28 34 67 256
93 29 29 25 65 175
86 32 27 23 60 298
105 32 26 32 70 192
97 33 29 26 68 335
98 32 28 25 70 186
94 26 27 32 60 310
96 30 27 26 68 239
97 25 28 26 69 246
105 26 29 33 69 219
108 32 29 33 73 310
107 33 32 34 71 186
105 26 27 33 69 266
211 184 26 26 68 190
102 30 36 33 67 352
98 30 35 26 70 299
101 31 38 31 68 252
94 32 27 32 60 365
105 31 37 31 72 272
104 32 28 32 70 283
95 32 36 27 65 447
88 31 27 27 59 249
96 25 28 32 62 283
99 28 32 32 65 237
96 25 32 25 69 203
90 25 27 32 55 359
100 18 26 32 66 167
110 23 26 43 64 193
110 31 27 41 62 289
114 31 31 31 74 217
97 25 28 34 61 247
104 34 29 34 68 167
84 32 29 19 63 205
101 32 29 27 71 342
96 33 29 26 68 232
113 34 32 35 76 246
93 31 28 31 60 209
108 32 29 32 73 167
96 26 26 26 67 286
109 32 36 33 74 130
90 32 27 26 61 205
105 33 26 33 70 202
95 25 33 27 66 205
94 26 27 28 64 294
90 24 31 33 55 178
94 26 28 26 66 292
103 34 30 34 67 297
98 34 40 32 63 265
92 27 28 30 60 267
115 34 28 34 79 273
91 27 28 34 55 157
92 25 28 29 62 193
104 35 38 35 67 243
104 35 33 35 67 165
109 27 33 30 77 324
102 35 40 34 65 259
97 26 31 35 60 151
112 35 31 35 74 190
97 27 32 28 67 150
112 35 36 36 74 132
103 27 32 37 64 91
256 224 32 28 66 151
102 32 40 35 66 121
97 35 33 29 66 202
