CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
9,432869376000,0,0,2023-05-14 09:49:36 +0000 UTC,17806,true,fusion-20009-k8s-as1
831,492498944000,0,0,2023-05-14 09:49:54 +0000 UTC,18151,true,fusion-20009-k8s-as1
1193,519462912000,0,0,2023-05-14 09:50:05 +0000 UTC,11563,true,fusion-20009-k8s-as1
1190,569421824000,0,0,2023-05-14 09:50:23 +0000 UTC,17170,true,fusion-20009-k8s-as1
1192,630751232000,0,0,2023-05-14 09:50:42 +0000 UTC,19575,true,fusion-20009-k8s-as1
1189,685486080000,0,0,2023-05-14 09:50:58 +0000 UTC,15326,true,fusion-20009-k8s-as1
